"Numéro";"N° Etiquette";"Commune de Prélèvement";"GIC";"Mode Prélt";"Nom";"Date de Mort";"MOIS";"Saison";"saison reprod";"Poids";"Sexe";"Prvt Utérus";"Femelle Allaitante";"Foetus (DSV)";"Femelle non repro";"Phase pré-implan-tatoire";"Nbre d'Emb";"Nbre de res";"Nbre de Cicat Année n";"Nbre de cic de res ou de n-1";"Prvt Dent";"Agedents";"Remarques";"reprod";"nbrepro";"Age"
115;"196";"10438";"B";"P";"MARTINOT";9/1/2006 00:00:00;1;1.00;1;5.00;"F";"N";"N";;;;;;;;"O";0.00;;;;0
116;"168";"10331";"S";"P";"JOUOT";13/1/2006 00:00:00;1;1.00;1;4.69;"M";;;;;;;;;;"O";0.00;;;;0
117;"198";"10310";"B";"P";"GOBIN";13/1/2006 00:00:00;1;1.00;1;5.50;"F";"N";"N";;;;;;;;"O";1.00;;;;1
118;"83";"10376";"B";"C";"CHARDIN";14/1/2006 00:00:00;1;1.00;1;5.59;"M";;;;;;;;;;"O";0.00;;;;0
119;"193";"10055";"B";"C";"RIVIERE";14/1/2006 00:00:00;1;1.00;1;7.19;"F";"N";"N";;;;;;;;"O";0.00;;;;0
120;"194";"10438";"B";"C";"BREHAUDAT";14/1/2006 00:00:00;1;1.00;1;6.30;"M";;;;;;;;;;"O";0.00;;;;0
121;"6";"10181";"S";"C";"BERTON";15/1/2006 00:00:00;1;1.00;1;7.09;"M";;;;;;;;;;"N";;;;;
122;"7";"10181";"S";"C";"BERTON";15/1/2006 00:00:00;1;1.00;1;4.80;"F";"N";"N";;;;;;;;"N";;;;;
123;"79";"10181";"S";"C";"TOMASSIN";15/1/2006 00:00:00;1;1.00;1;5.80;"M";;;;;;;;;;"N";;;;;
124;"189";"10295";"S";"C";"BARONNI";15/1/2006 00:00:00;1;1.00;1;6.40;"F";"N";"N";;;;;;;;"N";;;;;
125;"192";"10205";"B";"P";"BATKOWSKI";15/1/2006 00:00:00;1;1.00;1;5.90;"M";;;;;;;;;;"O";0.00;;;;0
126;"195";"10310";"B";"P";"GOBIN";15/1/2006 00:00:00;1;1.00;1;6.59;"F";"N";"N";;;;;;;;"O";3.00;;;;3
127;"38";"10213";"B";"P";"THIERRY";17/1/2006 00:00:00;1;1.00;1;5.90;"M";;;;;;;;;;"O";0.00;;;;0
128;"105";"10213";"B";"P";"THIERRY";18/1/2006 00:00:00;1;1.00;1;7.19;"M";;;;;;;;;;"O";1.00;;;;1
129;"214";"10432";"S";"P";"THOMAS";19/1/2006 00:00:00;1;1.00;1;6.59;"F";"N";"N";;;;;;;;"O";5.00;;;;5
130;"216";"10438";"B";"P";"BILLIOUT";19/1/2006 00:00:00;1;1.00;1;3.79;"F";"O";"N";;"x";;;;;;"O";0.00;;;;0
131;"224";"10045";"B";"P";"CARRIC";19/1/2006 00:00:00;1;1.00;1;5.40;"M";;;;;;;;;;"O";0.00;;;;0
132;"207";"10401";"B";"P";"GERARD";20/1/2006 00:00:00;1;1.00;1;6.59;"F";"N";"N";;;;;;;;"O";2.00;;;;2
133;"60";"10041";"B";"P";"BOITHIER";21/1/2006 00:00:00;1;1.00;1;4.80;"F";"O";"N";;;"x";;;;;"O";0.00;;"PI";;0
134;"222";"10427";"B";"C";"COURTOT";21/1/2006 00:00:00;1;1.00;1;6.00;"M";;;;;;;;;;"O";0.00;;;;0
